Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Devin Booker G,15,15.0,35.3,27.8,1.1,3.1,4.2,6.9,0.9,0.3,3.8,2.8,1.8,9.5,19.3,49.3,1.9,5.6,34.5,6.8,7.5,90.3,7.6,13.7,55.3,1.438,0.54
Dillon Brooks F,9,9.0,29.4,20.9,0.8,2.3,3.1,2.1,2.1,0.2,2.1,3.4,1.0,7.4,16.2,45.9,2.4,7.6,32.4,3.6,3.9,91.4,5.0,8.7,57.7,1.288,0.53
Grayson Allen G,13,13.0,32.1,18.5,0.5,2.6,3.1,4.3,1.6,0.3,1.8,2.3,2.4,6.2,13.3,46.8,3.9,8.8,44.7,2.1,2.6,79.4,2.3,4.5,50.8,1.387,0.62
Jalen Green G,2,2.0,15.0,15.5,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,5.5,11.5,47.8,3.0,7.0,42.9,1.5,2.5,60.0,2.5,4.5,55.6,1.348,0.61
Mark Williams C,13,10.0,25.1,11.7,2.9,5.3,8.2,0.9,1.3,0.9,0.9,2.8,1.0,4.7,7.5,62.9,0.0,0.0,0.0,2.3,3.0,76.9,4.7,7.5,62.9,1.567,0.63
Royce O'Neale F,15,11.0,29.6,11.3,1.0,4.5,5.5,2.9,1.3,0.1,1.5,2.5,2.0,3.9,9.1,43.4,3.2,7.5,42.5,0.3,0.4,66.7,0.7,1.5,47.8,1.25,0.61
Collin Gillespie G,15,0.0,24.3,10.5,1.0,3.1,4.1,5.1,1.0,0.4,1.5,1.4,3.3,3.5,8.9,39.8,2.4,6.1,39.1,1.1,1.3,80.0,1.1,2.7,41.5,1.188,0.53
Ryan Dunn F,15,10.0,24.1,8.7,1.9,3.0,4.9,1.9,1.3,0.7,1.0,2.5,1.9,3.5,7.3,48.2,1.0,3.0,33.3,0.6,0.9,69.2,2.5,4.3,58.5,1.182,0.55
Jordan Goodwin G,12,0.0,17.1,6.9,1.6,2.2,3.8,1.9,1.3,0.2,1.1,1.7,1.8,2.6,6.1,42.5,1.3,3.2,39.5,0.5,0.7,75.0,1.3,2.9,45.7,1.137,0.53
Oso Ighodaro F,15,4.0,15.7,4.9,0.6,2.7,3.3,1.2,0.4,0.7,1.3,2.5,0.9,2.1,3.8,56.1,0.0,0.0,0.0,0.6,1.1,56.3,2.1,3.8,56.1,1.281,0.56
Nick Richards C,15,1.0,10.4,4.4,1.3,2.1,3.4,0.3,0.1,0.5,0.9,1.5,0.4,1.6,2.9,55.8,0.0,0.0,0.0,1.2,1.7,72.0,1.6,2.9,55.8,1.535,0.56
Koby Brea G,1,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,2.0,0.5
Isaiah Livers F,9,0.0,11.6,3.0,0.4,1.3,1.8,0.4,0.2,0.3,0.1,1.0,4.0,0.9,2.1,42.1,0.7,1.9,35.3,0.6,0.7,83.3,0.2,0.2,100.0,1.421,0.58
Jamaree Bouyea G,1,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,inf,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.75
Rasheer Fleming F,8,0.0,5.8,2.0,0.9,0.6,1.5,0.3,0.1,0.1,0.4,0.6,0.7,0.6,2.4,26.3,0.3,1.4,18.2,0.5,0.5,100.0,0.4,1.0,37.5,0.842,0.32
Khaman Maluach C,7,0.0,5.0,1.9,0.1,0.7,0.9,0.1,0.0,0.6,0.7,1.1,0.2,0.4,1.0,42.9,0.0,0.4,0.0,1.0,1.1,87.5,0.4,0.6,75.0,1.857,0.43
Nigel Hayes-Davis F,12,0.0,8.1,1.6,0.6,0.8,1.3,0.4,0.4,0.0,0.4,0.8,1.0,0.8,2.0,37.5,0.1,0.8,11.1,0.0,0.0,0.0,0.7,1.3,53.3,0.792,0.4
Total,15,,,119.3,13.0,30.6,43.6,26.9,10.6,4.6,15.5,23.4,1.7,42.8,90.3,47.4,15.5,40.7,38.0,18.3,22.3,82.0,27.3,49.6,55.1,1.322,0.56
