Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Deni Avdija F,15,15.0,34.0,25.9,1.3,5.5,6.7,5.2,0.6,0.8,3.4,3.5,1.5,8.4,17.3,48.5,2.5,6.7,37.6,6.6,7.9,83.2,5.9,10.6,55.3,1.496,0.56
Shaedon Sharpe G,14,14.0,28.6,22.6,1.4,3.6,5.0,2.1,1.4,0.2,2.8,2.1,0.7,8.2,18.7,43.9,1.8,6.9,25.8,4.4,5.4,80.3,6.4,11.8,54.5,1.206,0.49
Jerami Grant F,14,2.0,28.5,19.4,1.1,2.4,3.4,2.4,0.9,0.4,1.7,3.4,1.4,5.7,12.1,47.3,2.3,5.4,42.1,5.6,6.7,84.0,3.4,6.6,51.6,1.604,0.57
Jrue Holiday G,12,12.0,33.4,16.7,1.3,3.9,5.3,8.3,1.6,0.3,2.9,2.0,2.8,6.2,13.8,44.6,2.6,7.1,36.5,1.8,2.1,84.0,3.6,6.8,53.1,1.205,0.54
Toumani Camara F,15,15.0,34.6,12.0,1.9,3.1,5.0,2.9,1.1,0.5,2.2,3.1,1.3,4.5,11.3,39.6,2.1,6.9,30.1,1.0,1.4,71.4,2.4,4.4,54.5,1.065,0.49
Donovan Clingan C,15,15.0,25.5,9.4,5.0,5.0,10.0,1.4,0.7,1.7,0.7,2.7,1.9,3.7,7.8,47.9,0.6,2.9,20.9,1.3,1.5,90.9,3.1,4.9,63.5,1.205,0.52
Blake Wesley G,6,0.0,16.3,6.0,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,2.7,2.3,5.7,41.2,0.3,1.7,20.0,1.0,1.7,60.0,2.0,4.0,50.0,1.059,0.44
Caleb Love G,7,0.0,13.6,5.6,0.4,2.4,2.9,1.9,0.4,0.0,0.6,0.6,3.3,2.1,7.3,29.4,0.9,4.3,20.0,0.4,0.6,75.0,1.3,3.0,42.9,0.765,0.35
Kris Murray F,14,1.0,23.8,5.4,1.5,1.9,3.4,1.1,1.0,0.2,0.6,1.6,1.9,2.3,5.1,45.1,0.5,1.8,28.0,0.4,0.6,62.5,1.8,3.3,54.3,1.07,0.5
Matisse Thybulle G,4,0.0,12.3,5.0,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,3.0,1.5,2.5,60.0,1.0,1.5,66.7,1.0,1.0,100.0,0.5,1.0,50.0,2.0,0.8
Robert Williams III C,9,0.0,12.0,4.1,1.8,1.9,3.7,0.7,0.7,0.6,0.3,0.9,2.0,2.0,3.1,64.3,0.1,0.3,33.3,0.0,0.1,0.0,1.9,2.8,68.0,1.321,0.66
Javonte Cooke G,1,0.0,9.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,6.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.667,0.33
Duop Reath C,11,0.0,7.6,3.7,0.1,0.5,0.5,0.4,0.0,0.1,0.1,0.7,4.0,1.3,2.2,58.3,1.2,2.0,59.1,0.0,0.0,0.0,0.1,0.2,50.0,1.708,0.85
Sidy Cissoko G,10,1.0,13.9,3.2,0.8,1.4,2.2,1.1,0.6,0.0,0.6,2.0,1.8,1.1,2.8,39.3,0.3,1.2,25.0,0.7,1.1,63.6,0.8,1.6,50.0,1.143,0.45
Yang Hansen C,7,0.0,7.1,2.9,0.7,0.9,1.6,0.6,0.0,0.4,1.0,0.7,0.6,1.0,2.9,35.0,0.0,0.9,0.0,0.9,1.0,85.7,1.0,2.0,50.0,1.0,0.35
Rayan Rupert G,8,0.0,6.1,1.1,0.1,1.0,1.1,0.3,0.4,0.0,0.3,1.0,1.0,0.4,1.4,27.3,0.1,0.9,14.3,0.3,0.5,50.0,0.3,0.5,50.0,0.818,0.32
Total,15,,,120.7,15.4,29.6,45.0,25.5,9.3,4.5,15.6,22.5,1.6,42.7,95.1,44.9,13.5,41.8,32.4,21.9,27.1,80.8,29.1,53.3,54.7,1.27,0.52
