Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Zach LaVine G,14,14.0,33.5,21.9,0.2,3.2,3.4,2.2,0.6,0.1,2.3,2.4,1.0,7.7,15.1,51.2,3.0,7.3,41.2,3.4,3.9,88.9,4.7,7.8,60.6,1.45,0.61
DeMar DeRozan G,16,16.0,32.9,17.9,0.6,2.5,3.1,3.5,1.3,0.1,0.9,2.2,3.7,6.6,13.3,49.3,0.8,2.2,37.1,4.0,4.6,86.5,5.8,11.1,51.7,1.347,0.52
Domantas Sabonis F,11,11.0,33.2,17.2,3.4,8.9,12.3,3.7,1.2,0.2,2.5,4.0,1.5,6.7,13.2,51.0,0.4,1.8,20.0,3.4,4.6,72.5,6.4,11.4,56.0,1.303,0.52
Russell Westbrook G,16,10.0,28.1,13.7,1.6,5.3,6.9,6.3,1.1,0.1,3.2,2.3,2.0,4.9,11.3,43.3,2.1,5.3,39.3,1.9,2.9,63.8,2.8,6.0,46.9,1.217,0.53
Malik Monk G,13,0.0,23.7,12.5,0.3,1.4,1.7,2.1,0.9,0.5,1.0,1.8,2.1,4.5,9.8,45.7,1.9,4.3,44.6,1.6,1.8,87.5,2.5,5.5,46.5,1.276,0.56
Dennis Schroder G,16,12.0,30.2,12.3,0.4,3.2,3.6,5.8,0.9,0.3,2.1,1.9,2.7,4.6,11.9,38.7,1.5,4.8,31.2,1.5,2.1,72.7,3.1,7.1,43.9,1.026,0.45
Keegan Murray F,1,0.0,33.0,11.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,13.0,38.5,1.0,6.0,16.7,0.0,0.0,0.0,4.0,7.0,57.1,0.846,0.42
Keon Ellis G,16,2.0,18.1,6.6,0.3,1.3,1.6,0.6,1.3,0.3,0.4,2.1,1.4,2.3,5.3,44.0,1.6,3.7,42.4,0.4,0.6,70.0,0.8,1.6,48.0,1.262,0.59
Drew Eubanks F,16,5.0,15.8,6.5,0.6,2.3,2.9,0.3,0.6,0.9,1.1,1.5,0.2,2.8,4.3,64.7,0.1,0.1,50.0,0.9,1.9,48.4,2.7,4.1,65.2,1.529,0.65
Precious Achiuwa PF,9,6.0,18.7,6.4,1.7,3.1,4.8,1.1,0.7,0.3,0.6,1.1,2.0,2.7,5.1,52.2,0.1,1.2,9.1,1.0,1.9,52.9,2.6,3.9,65.7,1.261,0.53
Doug McDermott F,1,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Maxime Raynaud C,8,0.0,14.1,5.6,0.9,2.8,3.6,0.6,0.3,0.4,0.8,1.3,0.8,2.3,4.5,50.0,0.1,0.5,25.0,1.0,1.1,88.9,2.1,4.0,53.1,1.25,0.51
Nique Clifford G,12,2.0,18.3,4.6,0.6,2.1,2.7,2.1,0.5,0.3,0.8,2.2,2.8,1.6,4.5,35.2,0.7,2.1,32.0,0.8,1.2,64.3,0.9,2.4,37.9,1.019,0.43
Devin Carter G,8,0.0,8.1,2.1,0.4,1.1,1.5,1.1,0.8,0.1,0.8,1.0,1.5,0.6,2.6,23.8,0.3,1.4,18.2,0.6,0.6,100.0,0.4,1.3,30.0,0.81,0.29
Daeqwon Plowden G,1,0.0,14.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.4,0.2
Dario Saric F,3,0.0,9.3,1.7,0.3,1.3,1.7,0.7,0.0,0.0,0.3,0.0,2.0,0.3,1.7,20.0,0.3,0.7,50.0,0.7,0.7,100.0,0.0,1.0,0.0,1.0,0.3
Dylan Cardwell C,3,1.0,11.0,1.7,0.7,1.0,1.7,0.0,0.7,1.0,0.7,3.3,0.0,0.7,2.0,33.3,0.0,0.3,0.0,0.3,0.7,50.0,0.7,1.7,40.0,0.833,0.33
Isaac Jones C *,3,1.0,5.7,1.0,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,inf,0.3,0.7,50.0,0.0,0.3,0.0,0.3,0.7,50.0,0.3,0.3,100.0,1.5,0.5
Total,16,,,111.0,8.8,30.5,39.3,25.9,8.6,3.3,14.3,20.7,1.8,41.0,88.1,46.5,11.4,31.4,36.5,17.6,23.4,74.9,29.6,56.8,52.1,1.26,0.53
