Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Lauri Markkanen F,14,14.0,35.9,30.6,2.3,3.8,6.1,2.1,1.0,0.5,1.4,2.1,1.5,10.4,21.5,48.5,3.7,9.6,38.5,6.1,6.9,88.5,6.7,11.9,56.6,1.425,0.57
Keyonte George G,14,14.0,34.4,23.0,0.6,3.3,3.9,7.1,1.1,0.3,3.4,2.3,2.1,7.1,16.7,42.7,2.0,6.9,29.2,6.7,7.2,93.1,5.1,9.9,52.2,1.376,0.49
Walker Kessler C,5,5.0,30.8,14.4,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,0.9,5.2,7.4,70.3,1.2,1.6,75.0,2.8,4.0,70.0,4.0,5.8,69.0,1.946,0.78
Isaiah Collier G,6,1.0,25.3,10.7,0.0,3.3,3.3,7.2,0.3,0.3,2.7,3.2,2.7,3.5,6.0,58.3,0.3,0.8,40.0,3.3,4.5,74.1,3.2,5.2,61.3,1.778,0.61
Svi Mykhailiuk G,14,14.0,27.0,9.7,0.7,1.9,2.6,2.0,0.5,0.2,0.7,1.4,2.8,3.6,7.5,48.6,2.1,5.4,38.7,0.4,0.4,83.3,1.6,2.1,73.3,1.295,0.62
Ace Bailey G,14,5.0,20.3,8.7,1.9,1.5,3.4,1.5,0.6,0.1,1.4,2.5,1.1,3.4,7.9,42.3,1.0,3.3,30.4,1.0,1.2,82.4,2.4,4.6,50.8,1.099,0.49
Brice Sensabaugh F,13,0.0,14.7,8.6,0.5,2.1,2.6,1.2,0.6,0.1,0.8,1.8,1.5,2.9,6.7,43.7,1.7,4.9,34.4,1.1,1.2,93.3,1.2,1.8,69.6,1.287,0.56
Kyle Filipowski F,13,5.0,19.8,7.8,1.5,4.1,5.6,2.3,0.4,0.5,1.2,2.8,1.9,2.7,6.5,41.2,0.8,2.7,31.4,1.5,2.2,69.0,1.8,3.8,48.0,1.188,0.48
Jusuf Nurkic C,14,9.0,24.4,7.4,2.2,7.4,9.6,3.8,1.8,0.4,2.9,2.9,1.3,2.8,7.1,39.4,0.3,1.8,16.0,1.6,2.5,62.9,2.5,5.3,47.3,1.051,0.41
Kyle Anderson F,4,0.0,17.3,6.5,1.0,1.5,2.5,3.5,0.8,0.0,0.8,2.0,4.7,2.5,5.5,45.5,0.0,0.0,0.0,1.5,2.3,66.7,2.5,5.5,45.5,1.182,0.45
Walter Clayton Jr. G,11,0.0,16.2,6.2,0.5,1.8,2.4,3.2,0.5,0.3,1.4,1.8,2.3,2.0,4.9,40.7,0.9,2.6,34.5,1.3,1.3,100.0,1.1,2.3,48.0,1.259,0.5
Taylor Hendricks F,9,3.0,16.4,4.4,1.8,2.4,4.2,0.4,0.4,0.3,0.6,0.4,0.8,1.7,4.4,37.5,0.4,1.9,23.5,0.7,0.9,75.0,1.2,2.6,47.8,1.0,0.43
Kevin Love F,8,0.0,14.0,4.3,0.8,3.5,4.3,2.3,0.0,0.4,0.9,1.3,2.6,1.1,3.4,33.3,0.8,2.9,26.1,1.3,1.5,83.3,0.4,0.5,75.0,1.259,0.44
Cody Williams F,9,0.0,13.1,2.8,0.2,0.7,0.9,0.4,0.3,0.2,0.3,1.6,1.3,1.2,3.3,36.7,0.2,1.6,14.3,0.1,0.3,33.3,1.0,1.8,56.3,0.833,0.4
Elijah Harkless G,7,0.0,9.4,2.4,0.3,0.6,0.9,0.7,0.6,0.0,0.4,1.4,1.7,0.6,1.6,36.4,0.3,1.0,28.6,1.0,1.3,77.8,0.3,0.6,50.0,1.545,0.45
Total,14,,,119.4,13.9,33.3,47.2,29.6,7.9,3.7,16.5,23.0,1.8,41.0,91.4,44.9,13.7,41.4,33.2,23.7,28.6,82.8,27.3,50.0,54.6,1.307,0.52
