Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Nikita Kucherov,RW,81,44,100,144,8,22,21:40,13,40,306,14.4,1793,6,2,2,50.0,2,0,0.0
Nathan MacKinnon,C,82,51,89,140,35,42,22:48,10,38,405,12.6,1952,9,607,707,46.2,3,0,0.0
Connor McDavid,C,76,32,100,132,35,30,21:21,7,37,263,12.2,1620,5,442,423,51.1,3,2,66.7
Artemi Panarin,LW,82,49,71,120,18,24,20:07,11,33,302,16.2,1783,5,1,9,10.0,7,4,57.1
David Pastrnak,RW,82,47,63,110,21,47,19:55,12,23,382,12.3,1832,5,8,16,33.3,5,2,40.0
Auston Matthews,C,81,69,38,107,31,20,20:57,18,11,369,18.7,1844,8,705,614,53.5,7,2,28.6
Leon Draisaitl,C,81,41,65,106,26,76,20:41,21,18,217,18.9,1761,7,826,625,56.9,2,1,50.0
Mikko Rantanen,RW,80,42,62,104,19,50,22:54,14,26,271,15.5,1861,9,275,236,53.8,4,1,25.0
J.T. Miller,C,81,37,66,103,32,58,19:29,10,30,194,19.1,2028,9,823,638,56.3,2,0,0.0
William Nylander,RW,82,40,58,98,1,24,19:54,11,24,316,12.7,1856,7,56,63,47.1,7,0,0.0
Kirill Kaprizov,LW,75,46,50,96,11,36,21:34,19,22,277,16.6,1567,8,0,1,0.0,6,0,0.0
Sidney Crosby,C,82,42,52,94,7,40,20:05,10,13,278,15.1,1996,3,1090,782,58.2,5,3,60.0
Filip Forsberg,LW,82,48,46,94,16,43,18:54,13,19,347,13.8,1854,11,11,11,50.0,1,1,100.0
Sam Reinhart,C,82,57,37,94,29,31,20:17,27,7,233,24.5,2017,11,234,296,44.2,5,4,80.0
Quinn Hughes,D,82,17,75,92,38,38,24:41,5,33,199,8.5,2075,2,0,0,0.0,0,0,0.0
Cale Makar,D,77,21,69,90,15,16,24:46,7,32,231,9.1,1966,1,0,0,0.0,0,0,0.0
Brayden Point,C,81,46,44,90,-16,14,20:02,15,17,227,20.3,1768,12,294,350,45.7,4,2,50.0
Sebastian Aho,C,78,36,53,89,34,36,19:37,11,21,216,16.7,1814,10,571,484,54.1,5,2,40.0
Elias Pettersson,C,82,34,55,89,20,12,19:39,13,18,207,16.4,1958,10,406,393,50.8,2,0,0.0
Matthew Tkachuk,LW,80,26,62,88,19,88,18:38,6,26,280,9.3,1749,2,3,6,33.3,1,0,0.0
Robert Thomas,C,82,26,60,86,9,48,20:57,8,19,170,15.3,1893,3,876,773,53.1,5,1,20.0
Roman Josi,D,82,23,62,85,12,45,24:37,9,24,268,8.6,2106,5,0,0,0.0,0,0,0.0
Mitch Marner,RW,69,26,59,85,21,18,21:16,8,19,158,16.5,1632,2,4,12,25.0,5,4,80.0
Jesper Bratt,LW,82,27,56,83,-6,12,19:18,7,20,248,10.9,2052,7,8,14,36.4,1,0,0.0
Evan Bouchard,D,81,18,64,82,34,32,22:59,8,27,220,8.2,1805,7,0,0,0.0,0,0,0.0
Steven Stamkos,C,79,40,41,81,-21,34,18:13,19,20,262,15.3,1612,6,357,280,56.0,3,1,33.3
Aleksander Barkov,C,73,23,57,80,33,24,19:38,5,24,193,11.9,1800,4,630,470,57.3,4,2,50.0
Mathew Barzal,C,80,23,57,80,-4,34,20:07,5,20,240,9.6,1770,4,49,65,43.0,5,0,0.0
Jason Robertson,LW,82,29,51,80,19,22,18:19,9,19,231,12.6,1739,4,0,0,0.0,5,3,60.0
Nick Suzuki,C,82,33,44,77,-14,36,21:15,12,19,185,17.8,1878,1,689,622,52.6,12,4,33.3
Zach Hyman,LW,80,54,23,77,36,48,19:30,15,5,290,18.6,1619,7,7,9,43.8,0,0,0.0
Vincent Trocheck,C,82,25,52,77,16,55,21:27,11,13,215,11.6,2005,5,881,619,58.7,5,2,40.0
Jake Guentzel,C,67,30,47,77,25,22,20:01,5,17,238,12.6,1549,2,6,17,26.1,5,2,40.0
