Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Colorado Avalanche,82,3.68,525,827,68,24.5,7,2705,11.2,731,79.9,10,2,20.0
Toronto Maple Leafs,82,3.63,487,785,57,24.0,6,2671,11.2,815,76.9,26,9,34.6
Dallas Stars,82,3.59,505,799,58,24.2,12,2588,11.4,554,82.0,18,7,38.9
Edmonton Oilers,82,3.56,507,799,64,26.3,7,2768,10.5,780,79.5,9,6,66.7
Tampa Bay Lightning,82,3.51,496,784,71,28.6,5,2401,12.0,901,83.3,15,5,33.3
Vancouver Canucks,82,3.4,484,763,58,22.6,7,2328,12.0,764,79.1,7,0,0.0
New York Rangers,82,3.39,476,754,65,26.4,8,2580,10.8,763,84.5,22,9,40.9
Carolina Hurricanes,82,3.38,485,762,67,26.9,11,2733,10.1,693,86.4,32,5,15.6
Detroit Red Wings,82,3.35,464,739,63,23.1,7,2375,11.6,706,79.6,11,5,45.5
Nashville Predators,82,3.24,449,715,58,21.6,7,2642,10.1,776,76.9,5,5,100.0
Florida Panthers,82,3.23,445,710,63,23.5,8,2763,9.6,1106,82.5,18,7,38.9
New Jersey Devils,82,3.22,423,687,55,22.4,3,2516,10.5,747,80.7,2,0,0.0
Boston Bruins,82,3.21,443,706,54,22.2,7,2398,11.0,770,82.5,19,7,36.8
Vegas Golden Knights,82,3.21,459,722,51,20.2,9,2548,10.3,585,79.3,16,7,43.8
Winnipeg Jets,82,3.16,440,699,45,18.8,3,2488,10.4,659,77.1,3,0,0.0
Los Angeles Kings,82,3.1,431,685,56,22.6,11,2616,9.7,715,84.6,30,10,33.3
Calgary Flames,82,3.09,433,686,45,17.9,11,2572,9.8,757,80.8,16,3,18.8
Pittsburgh Penguins,82,3.09,420,673,40,15.3,5,2682,9.4,603,80.7,26,7,26.9
Ottawa Senators,82,3.05,421,671,51,18.0,7,2602,9.6,845,75.1,14,6,42.9
Minnesota Wild,82,3.02,424,672,62,22.7,3,2471,10.0,938,74.5,24,6,25.0
New York Islanders,82,2.99,410,655,47,20.3,10,2470,9.9,586,71.5,24,5,20.8
Buffalo Sabres,82,2.98,391,635,37,16.6,7,2534,9.6,785,79.8,11,5,45.5
St. Louis Blues,82,2.85,401,635,45,18.0,11,2369,9.9,608,79.1,24,9,37.5
Columbus Blue Jackets,82,2.85,389,623,32,15.1,5,2458,9.5,670,76.3,17,5,29.4
Montreal Canadiens,82,2.83,380,612,44,17.5,7,2268,10.2,825,76.5,53,13,24.5
Philadelphia Flyers,82,2.82,369,600,31,12.2,16,2708,8.5,830,83.4,22,6,27.3
Washington Capitals,82,2.63,371,587,47,20.6,3,2172,9.9,628,79.0,34,8,23.5
Seattle Kraken,82,2.61,372,586,50,20.7,6,2347,9.1,653,78.8,30,8,26.7
Anaheim Ducks,82,2.48,351,554,42,17.9,12,2194,9.3,1108,72.4,7,2,28.6
San Jose Sharks,82,2.2,300,480,42,20.2,3,2069,8.7,780,75.4,29,5,17.2
Chicago Blackhawks,82,2.17,303,481,39,16.6,3,2153,8.3,715,75.8,11,3,27.3
