Team,Year,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Anaheim Ducks,2024,82,2.65,361,578,26,11.8,3,2270,9.6,731,74.2,16,6,37.5
Boston Bruins,2024,82,2.71,356,578,35,15.2,6,2174,10.2,801,76.3,3,0,0.0
Buffalo Sabres,2024,82,3.23,432,697,43,18.8,10,2278,11.6,837,76.3,16,8,50.0
Calgary Flames,2024,82,2.68,357,577,49,21.0,7,2414,9.1,756,76.1,25,9,36.0
Carolina Hurricanes,2024,82,3.24,441,707,46,18.7,10,2598,10.2,648,83.6,10,1,10.0
Chicago Blackhawks,2024,82,2.73,379,603,47,24.9,6,2005,11.2,705,79.3,23,8,34.8
Colorado Avalanche,2024,82,3.33,460,733,58,24.8,5,2451,11.1,560,79.8,22,6,27.3
Columbus Blue Jackets,2024,82,3.26,445,712,36,19.5,9,2382,11.2,676,77.0,16,7,43.8
Dallas Stars,2024,82,3.35,492,767,55,22.0,8,2325,11.8,572,82.0,11,6,54.5
Detroit Red Wings,2024,82,2.87,391,626,64,27.0,2,2248,10.5,557,70.1,7,5,71.4
Edmonton Oilers,2024,82,3.16,442,701,51,23.7,5,2622,9.9,607,78.2,2,0,0.0
Florida Panthers,2024,82,3.0,414,660,56,23.5,12,2589,9.5,843,80.7,14,7,50.0
Los Angeles Kings,2024,82,3.04,423,672,37,17.9,4,2303,10.8,632,81.4,10,5,50.0
Minnesota Wild,2024,82,2.74,369,594,43,20.9,4,2263,9.9,612,72.4,16,6,37.5
Montreal Canadiens,2024,82,2.96,410,653,47,20.1,9,2095,11.6,760,80.9,24,7,29.2
Nashville Predators,2024,82,2.59,352,564,50,21.8,1,2403,8.8,784,81.5,6,4,66.7
New Jersey Devils,2024,82,2.93,400,640,61,28.2,7,2304,10.4,665,82.7,16,7,43.8
New York Islanders,2024,82,2.71,359,581,26,12.6,9,2419,9.2,459,72.2,19,4,21.1
New York Rangers,2024,82,3.11,440,695,37,17.6,18,2344,10.9,687,80.3,3,1,33.3
Ottawa Senators,2024,82,2.95,405,647,64,23.7,9,2403,10.1,696,77.7,8,1,12.5
Philadelphia Flyers,2024,82,2.83,403,635,31,14.5,4,2212,10.5,602,77.6,32,11,34.4
Pittsburgh Penguins,2024,82,2.95,414,656,57,25.8,4,2324,10.4,561,77.8,25,7,28.0
San Jose Sharks,2024,82,2.54,356,564,42,18.6,5,2203,9.4,715,74.2,21,7,33.3
Seattle Kraken,2024,82,2.99,400,645,43,18.9,3,2243,10.9,585,77.2,15,5,33.3
St. Louis Blues,2024,82,3.05,440,690,43,22.1,4,2186,11.4,619,74.3,29,9,31.0
Tampa Bay Lightning,2024,82,3.56,499,791,60,25.9,11,2341,12.5,666,81.6,16,5,31.3
Toronto Maple Leafs,2024,82,3.26,443,710,54,24.8,6,2297,11.6,644,77.9,10,4,40.0
Utah Hockey Club,2024,82,2.93,431,671,57,24.2,4,2341,10.3,789,79.3,14,2,14.3
Vancouver Canucks,2024,82,2.84,408,641,50,22.5,4,2094,11.1,749,82.7,15,6,40.0
Vegas Golden Knights,2024,82,3.34,471,745,53,28.3,6,2480,11.0,463,75.7,19,3,15.8
Washington Capitals,2024,82,3.49,480,766,52,23.5,8,2265,12.6,779,82.0,16,3,18.8
Winnipeg Jets,2024,82,3.35,465,740,63,28.9,4,2314,11.9,593,79.4,8,3,37.5
Anaheim Ducks,2023,82,2.48,351,554,42,17.9,12,2194,9.3,1108,72.4,7,2,28.6
Boston Bruins,2023,82,3.21,443,706,54,22.2,7,2398,11.0,770,82.5,19,7,36.8
Buffalo Sabres,2023,82,2.98,391,635,37,16.6,7,2534,9.6,785,79.8,11,5,45.5
Calgary Flames,2023,82,3.09,433,686,45,17.9,11,2572,9.8,757,80.8,16,3,18.8
Carolina Hurricanes,2023,82,3.38,485,762,67,26.9,11,2733,10.1,693,86.4,32,5,15.6
Chicago Blackhawks,2023,82,2.17,303,481,39,16.6,3,2153,8.3,715,75.8,11,3,27.3
Colorado Avalanche,2023,82,3.68,525,827,68,24.5,7,2705,11.2,731,79.9,10,2,20.0
Columbus Blue Jackets,2023,82,2.85,389,623,32,15.1,5,2458,9.5,670,76.3,17,5,29.4
Dallas Stars,2023,82,3.59,505,799,58,24.2,12,2588,11.4,554,82.0,18,7,38.9
Detroit Red Wings,2023,82,3.35,464,739,63,23.1,7,2375,11.6,706,79.6,11,5,45.5
Edmonton Oilers,2023,82,3.56,507,799,64,26.3,7,2768,10.5,780,79.5,9,6,66.7
Florida Panthers,2023,82,3.23,445,710,63,23.5,8,2763,9.6,1106,82.5,18,7,38.9
Los Angeles Kings,2023,82,3.1,431,685,56,22.6,11,2616,9.7,715,84.6,30,10,33.3
Minnesota Wild,2023,82,3.02,424,672,62,22.7,3,2471,10.0,938,74.5,24,6,25.0
Montreal Canadiens,2023,82,2.83,380,612,44,17.5,7,2268,10.2,825,76.5,53,13,24.5
Nashville Predators,2023,82,3.24,449,715,58,21.6,7,2642,10.1,776,76.9,5,5,100.0
New Jersey Devils,2023,82,3.22,423,687,55,22.4,3,2516,10.5,747,80.7,2,0,0.0
New York Islanders,2023,82,2.99,410,655,47,20.3,10,2470,9.9,586,71.5,24,5,20.8
New York Rangers,2023,82,3.39,476,754,65,26.4,8,2580,10.8,763,84.5,22,9,40.9
Ottawa Senators,2023,82,3.05,421,671,51,18.0,7,2602,9.6,845,75.1,14,6,42.9
Philadelphia Flyers,2023,82,2.82,369,600,31,12.2,16,2708,8.5,830,83.4,22,6,27.3
Pittsburgh Penguins,2023,82,3.09,420,673,40,15.3,5,2682,9.4,603,80.7,26,7,26.9
San Jose Sharks,2023,82,2.2,300,480,42,20.2,3,2069,8.7,780,75.4,29,5,17.2
Seattle Kraken,2023,82,2.61,372,586,50,20.7,6,2347,9.1,653,78.8,30,8,26.7
St. Louis Blues,2023,82,2.85,401,635,45,18.0,11,2369,9.9,608,79.1,24,9,37.5
Tampa Bay Lightning,2023,82,3.51,496,784,71,28.6,5,2401,12.0,901,83.3,15,5,33.3
Toronto Maple Leafs,2023,82,3.63,487,785,57,24.0,6,2671,11.2,815,76.9,26,9,34.6
Vancouver Canucks,2023,82,3.4,484,763,58,22.6,7,2328,12.0,764,79.1,7,0,0.0
Vegas Golden Knights,2023,82,3.21,459,722,51,20.2,9,2548,10.3,585,79.3,16,7,43.8
Washington Capitals,2023,82,2.63,371,587,47,20.6,3,2172,9.9,628,79.0,34,8,23.5
Winnipeg Jets,2023,82,3.16,440,699,45,18.8,3,2488,10.4,659,77.1,3,0,0.0
Anaheim Ducks,2022,82,2.51,353,559,36,15.7,1,2326,8.9,929,72.1,13,4,30.8
Boston Bruins,2022,82,3.66,515,815,62,22.2,8,2702,11.1,861,87.3,15,6,40.0
Buffalo Sabres,2022,82,3.57,487,780,63,23.4,9,2665,11.0,608,73.0,19,7,36.8
Calgary Flames,2022,82,3.13,442,699,50,19.8,8,2948,8.7,757,82.6,23,7,30.4
Carolina Hurricanes,2022,82,3.2,425,687,50,19.8,11,2852,9.2,614,84.4,27,11,40.7
Chicago Blackhawks,2022,82,2.46,331,533,38,16.4,7,2209,9.1,707,76.2,10,4,40.0
Colorado Avalanche,2022,82,3.34,469,743,64,24.5,6,2727,10.0,675,79.0,24,6,25.0
Columbus Blue Jackets,2022,82,2.54,354,562,41,18.3,5,2399,8.7,654,75.1,12,4,33.3
Dallas Stars,2022,82,3.41,459,739,64,25.0,10,2617,10.7,637,83.5,13,5,38.5
Detroit Red Wings,2022,82,2.89,403,640,57,21.1,5,2312,10.3,662,78.3,23,6,26.1
Edmonton Oilers,2022,82,3.96,545,870,89,32.4,18,2754,11.8,706,77.0,17,3,17.6
Florida Panthers,2022,82,3.51,484,772,63,22.8,6,3019,9.5,998,75.9,11,4,36.4
Los Angeles Kings,2022,82,3.34,469,743,68,25.3,7,2658,10.3,703,75.8,24,9,37.5
Minnesota Wild,2022,82,2.91,394,633,54,21.4,14,2535,9.4,925,82.0,42,18,42.9
Montreal Canadiens,2022,82,2.77,384,611,38,16.0,8,2237,10.1,955,72.7,25,10,40.0
Nashville Predators,2022,82,2.71,379,601,44,17.6,6,2419,9.2,791,82.5,24,11,45.8
New Jersey Devils,2022,82,3.52,480,769,49,21.9,9,2821,10.2,632,82.6,12,2,16.7
New York Islanders,2022,82,2.95,388,630,35,15.8,6,2524,9.6,656,82.2,13,2,15.4
