Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Breanna Stewart,F,34,30.9,21.8,7.5,15.9,47.2,2.0,5.2,37.9,4.8,5.8,83.7,7.6,2.9,1.6,0.9,1.3,2022
Kelsey Plum,G,36,32.8,20.2,6.8,14.8,46.0,3.1,7.5,42.0,3.5,4.1,83.9,2.7,5.1,1.0,0.1,2.6,2022
Skylar Diggins-Smith,G,30,34.0,19.7,6.9,16.2,42.9,1.3,4.5,29.6,4.5,5.3,84.4,4.0,5.5,1.5,1.0,2.7,2022
Arike Ogunbowale,G,30,31.4,19.7,6.8,17.0,40.0,2.8,7.9,35.2,3.3,4.1,79.8,3.3,3.6,1.5,0.1,1.8,2022
A'ja Wilson,C,36,30.0,19.5,7.2,14.4,50.1,0.9,2.3,37.3,4.2,5.2,81.3,9.4,2.1,1.4,1.9,1.7,2022
Kelsey Mitchell,G,31,32.6,18.4,6.3,14.4,43.8,2.3,5.7,40.9,3.4,3.9,86.1,1.9,4.2,0.9,0.2,2.4,2022
Nneka Ogwumike,F,34,31.4,18.1,7.3,13.5,54.4,0.6,1.7,36.8,2.8,3.4,82.6,6.6,2.0,1.7,0.4,1.8,2022
Sabrina Ionescu,G,36,32.3,17.4,5.9,14.3,41.1,2.3,6.9,33.3,3.4,3.6,93.1,7.1,6.3,1.1,0.3,3.0,2022
Elena Delle Donne,F,25,27.8,17.2,6.2,12.9,48.0,1.4,3.8,36.8,3.4,3.7,91.3,6.3,2.3,0.5,1.1,1.1,2022
Diana Taurasi,G,31,31.0,16.7,4.8,13.0,37.3,3.0,8.8,33.7,4.1,4.6,89.4,3.4,3.9,0.7,0.6,2.7,2022
Jewell Loyd,G,36,30.3,16.3,5.6,14.1,39.6,2.3,6.1,38.5,2.8,3.1,89.3,2.6,3.4,1.1,0.2,2.2,2022
Rhyne Howard,G,34,31.4,16.2,5.4,15.0,36.1,2.5,7.3,34.3,2.9,3.7,79.2,4.5,2.8,1.6,0.8,1.6,2022
Jackie Young,G,34,33.2,15.9,5.6,11.8,47.6,1.5,3.4,43.1,3.2,3.8,85.9,4.4,3.9,1.4,0.2,1.3,2022
Kahleah Copper,G,31,28.7,15.7,5.7,11.8,48.1,1.2,3.3,35.6,3.2,4.2,77.5,5.7,2.3,0.5,0.0,2.0,2022
Natasha Howard,F,35,29.9,15.1,5.9,12.2,48.2,0.9,2.6,32.6,2.5,3.5,71.5,7.3,2.3,1.3,1.0,3.2,2022
Ariel Atkins,G,36,30.0,14.6,5.1,12.2,42.0,1.9,5.3,36.5,2.4,2.9,84.5,3.3,2.3,1.3,0.3,1.4,2022
Jonquel Jones,F,33,26.4,14.6,5.3,10.4,51.3,1.2,3.4,36.9,2.7,3.4,80.2,8.6,1.8,1.1,1.2,2.6,2022
Aerial Powers,G,35,26.9,14.4,4.9,12.6,38.5,0.9,3.1,30.8,3.8,4.6,81.5,4.7,2.9,1.2,0.3,2.6,2022
Sylvia Fowles,C,30,27.7,14.4,6.1,9.9,62.2,0.0,0.0,0.0,2.1,3.2,66.0,9.8,1.2,1.0,1.2,2.1,2022
Brionna Jones,F,36,25.1,13.8,5.2,9.1,56.9,0.0,0.2,0.0,3.4,4.1,84.4,5.1,1.2,1.2,0.4,1.5,2022
Chelsea Gray,G,35,29.7,13.7,5.2,10.7,49.1,1.0,2.9,34.0,2.3,2.5,91.0,3.2,6.1,1.6,0.3,2.3,2022
Marina Mabrey,G,34,28.0,13.6,5.2,12.5,42.0,1.8,5.1,35.1,1.4,2.0,68.1,3.6,3.7,0.8,0.4,2.4,2022
NaLyssa Smith,F,32,30.7,13.5,5.0,11.9,41.9,1.2,3.0,38.1,2.4,3.8,61.8,7.9,1.4,0.5,0.3,2.4,2022
DeWanna Bonner,F,33,30.0,13.5,4.7,10.8,43.9,1.4,4.2,32.9,2.6,3.2,82.7,4.7,2.8,1.2,0.3,1.6,2022
Alyssa Thomas,F,36,32.1,13.4,5.2,10.4,50.0,0.0,0.1,0.0,3.0,4.1,73.0,8.2,6.1,1.7,0.2,2.9,2022
Allisha Gray,G,33,32.9,13.3,4.4,10.5,42.3,1.9,4.8,40.8,2.5,3.2,79.8,4.8,2.5,1.1,0.7,1.3,2022
Kayla McBride,G,31,29.8,13.3,4.4,10.9,40.5,1.5,4.3,35.6,2.9,3.2,90.9,2.8,2.1,1.0,0.1,1.5,2022
Candace Parker,F,32,28.3,13.2,5.0,10.8,45.8,1.3,4.2,31.1,1.9,2.4,81.6,8.6,4.5,1.0,1.0,2.4,2022
Diamond DeShields,G,30,25.3,13.1,4.7,12.2,38.8,0.7,3.0,23.6,2.9,3.8,76.5,3.8,2.2,1.0,0.5,2.3,2022
Liz Cambage,C,25,23.4,13.0,4.7,9.2,50.9,0.2,0.6,28.6,3.5,4.4,78.4,6.4,2.1,0.6,1.6,2.3,2022
Brittney Sykes,G,32,28.8,12.7,4.8,11.0,43.3,0.4,1.6,26.9,2.7,3.5,77.0,3.7,3.7,2.0,0.7,2.6,2022
Sophie Cunningham,G,28,29.5,12.6,4.3,9.5,44.9,2.5,6.3,40.0,1.5,1.7,87.5,4.4,1.6,1.0,0.4,1.0,2022
Emma Meesseman,F,36,28.6,12.4,5.4,9.4,57.1,0.4,1.1,34.2,1.3,1.5,88.7,5.6,3.8,1.4,0.8,1.4,2022
Cheyenne Parker-Tyus,F,36,26.2,11.8,4.9,9.8,50.0,0.3,1.5,21.8,1.7,2.2,79.5,6.2,2.0,1.0,0.9,2.0,2022
Courtney Vandersloot,G,32,26.5,11.8,4.3,8.8,48.1,0.9,2.5,36.7,2.3,3.1,76.5,3.9,6.5,1.2,0.5,2.7,2022
Allie Quigley,G,34,26.3,11.4,3.8,8.9,42.8,1.5,4.1,35.5,2.2,2.4,95.0,2.5,2.9,0.7,0.2,1.3,2022
Courtney Williams,G,34,27.9,11.1,4.9,11.4,42.6,0.6,1.9,33.8,0.8,1.1,75.0,4.6,3.3,1.0,0.4,1.7,2022
Aari McDonald,G,36,24.3,11.1,3.6,8.9,41.1,1.3,3.9,33.8,2.4,2.8,87.1,2.3,2.6,1.4,0.0,2.1,2022
Teaira McCowan,C,33,18.9,11.0,4.2,7.0,60.2,0.0,0.0,0.0,2.5,4.2,60.0,7.0,0.8,0.3,0.7,1.7,2022
Moriah Jefferson,G,30,26.8,10.8,3.9,8.6,45.2,1.2,2.5,47.4,1.8,2.2,81.5,2.5,4.9,1.2,0.1,2.3,2022
Natasha Cloud,G,34,31.3,10.7,3.6,9.1,39.9,1.3,4.0,31.9,2.2,2.7,82.4,3.6,7.0,1.0,0.3,2.8,2022
Azura Stevens,F,35,21.9,10.6,4.3,9.1,47.2,1.2,3.3,36.2,0.8,1.1,74.4,3.9,0.8,0.5,1.1,0.7,2022
Marine Johannes,G,24,25.5,10.0,3.5,7.5,46.4,2.3,5.3,43.7,0.8,1.0,87.0,1.7,3.4,0.6,0.1,1.8,2022
Shey Peddy,G,34,28.6,9.9,3.4,8.2,41.8,1.4,4.3,32.9,1.6,1.9,88.9,3.8,3.4,1.6,0.2,1.4,2022
Victoria Vivians,G,35,26.9,9.8,3.6,10.7,33.6,1.3,4.5,28.0,1.3,1.8,74.2,3.6,2.4,1.1,0.3,2.1,2022
Katie Lou Samuelson,F,32,29.5,9.7,3.3,9.0,37.3,1.8,5.0,35.2,1.3,1.5,83.7,3.0,1.9,1.0,0.2,1.1,2022
Ezi Magbegor,C,33,24.8,9.5,4.0,7.3,55.0,0.3,0.9,34.5,1.2,1.6,73.6,5.6,1.4,0.9,1.8,1.4,2022
Dearica Hamby,F,34,26.5,9.3,3.4,7.3,46.6,0.5,2.1,21.9,2.0,2.7,72.0,7.1,1.1,1.1,0.1,1.5,2022
Jordin Canada,G,32,27.0,9.2,3.3,8.5,38.4,0.2,1.6,14.0,2.5,3.1,80.6,2.3,5.5,1.4,0.2,2.3,2022
Natisha Hiedeman,G,36,25.0,9.1,3.3,7.6,43.1,1.9,4.7,41.1,0.7,0.8,80.0,1.8,3.3,1.2,0.1,1.3,2022
Myisha Hines-Allen,F,34,19.3,8.9,3.4,8.1,41.5,0.9,2.3,36.7,1.3,1.9,70.3,5.3,1.9,0.8,0.3,1.7,2022
Chennedy Carter,G,24,16.4,8.9,3.5,7.9,45.0,0.1,0.4,20.0,1.7,2.3,74.5,1.9,1.9,0.6,0.4,1.8,2022
Isabelle Harrison,F,35,18.4,8.7,3.3,7.1,46.6,0.1,0.1,100.0,2.1,2.4,86.7,4.3,1.3,0.7,0.1,1.3,2022
Shakira Austin,C,36,21.6,8.7,3.4,6.2,54.7,0.0,0.0,0.0,1.9,3.0,62.4,6.4,0.9,0.8,0.8,1.5,2022
Han Xu,C,32,16.8,8.5,3.4,6.9,49.3,0.5,1.1,44.4,1.2,1.5,79.6,3.6,0.9,0.5,0.7,0.7,2022
Rebekah Gardner,G,35,21.7,8.4,3.3,6.1,54.2,0.4,1.2,35.7,1.4,1.7,80.0,3.3,1.3,1.4,0.5,1.6,2022
Erica Wheeler,G,30,26.3,8.4,3.3,9.2,35.5,0.8,2.4,32.9,1.0,1.4,75.6,3.1,3.9,1.1,0.1,2.5,2022
Jessica Shepard,F,36,26.1,8.1,3.0,6.0,50.2,0.2,0.6,26.1,1.9,2.6,73.4,7.4,3.0,0.4,0.3,1.7,2022
Stefanie Dolson,C,36,22.9,8.1,3.1,6.4,49.3,0.7,1.8,39.4,1.1,1.2,90.5,4.8,1.8,0.4,0.8,1.6,2022
Alysha Clark,F,29,26.4,8.0,3.1,6.8,46.4,1.0,3.4,30.3,0.7,0.8,91.3,4.5,2.0,1.0,0.3,1.3,2022
Kayla Thornton,F,36,29.2,8.0,2.7,5.8,46.9,0.7,2.1,32.5,1.9,2.3,82.9,5.9,1.8,1.1,0.6,1.2,2022
Rachel Banham,G,36,17.5,7.9,2.8,6.5,43.0,1.6,4.1,38.3,0.7,0.8,80.0,1.3,2.3,0.3,0.1,1.3,2022
Sue Bird,G,31,26.4,7.8,2.7,6.8,40.3,1.8,4.6,38.9,0.5,0.5,100.0,1.9,6.0,1.2,0.1,1.9,2022
Gabby Williams,F,36,25.6,7.5,3.0,6.8,44.4,0.5,1.9,25.7,1.0,1.3,77.8,5.0,3.1,1.5,0.4,1.4,2022
Danielle Robinson,G,31,23.6,7.4,2.7,6.5,41.9,0.3,1.3,22.5,1.6,1.9,85.0,2.9,3.8,0.7,0.2,1.6,2022
Queen Egbo,C,33,21.8,7.2,2.9,6.5,44.2,0.0,0.0,0.0,1.5,2.3,64.5,6.3,0.9,0.9,1.2,1.9,2022
Lexie Brown,G,34,25.0,7.1,2.7,6.2,44.1,1.6,3.9,39.8,0.1,0.2,66.7,2.3,2.1,1.0,0.2,0.8,2022
Emma Cannon,F,23,14.3,7.0,2.6,4.9,52.2,0.4,0.8,50.0,1.5,2.0,73.9,3.2,0.5,0.6,0.1,0.7,2022
Chiney Ogwumike,F,26,18.4,7.0,2.7,5.7,46.6,0.3,0.7,44.4,1.4,2.0,70.6,5.5,1.1,0.7,0.3,1.4,2022
Rebecca Allen,G,25,20.9,7.0,2.6,6.8,37.9,1.0,3.3,31.3,0.8,1.0,83.3,3.4,1.2,0.8,1.0,1.0,2022
Shatori Walker-Kimbrough,G,35,20.1,6.9,2.3,5.7,40.2,0.7,2.1,34.7,1.6,1.7,90.2,1.8,1.5,1.1,0.3,1.1,2022
DiJonai Carrington,G,36,17.5,6.8,2.3,5.6,41.4,0.5,1.7,30.6,1.6,2.1,75.0,3.1,1.1,0.8,0.1,1.6,2022
Kristy Wallace,G,29,20.8,6.6,2.3,5.6,40.7,0.9,2.3,36.8,1.1,1.4,78.6,2.3,2.2,0.6,0.2,1.5,2022
Tiffany Mitchell,G,34,16.3,6.5,2.4,5.4,45.1,0.4,0.9,38.7,1.3,1.5,86.5,1.2,1.2,0.8,0.1,0.9,2022
Sami Whitcomb,G,35,21.3,6.5,2.1,5.7,36.8,1.7,4.8,35.1,0.6,0.7,87.0,2.3,2.3,0.7,0.1,1.4,2022
Monique Billings,F,23,17.4,6.5,2.4,5.1,47.0,0.0,0.0,0.0,1.7,2.2,76.5,6.3,1.1,0.8,0.3,1.3,2022
Nikolina Milic,F,31,11.7,6.0,2.4,4.4,54.8,0.2,0.7,27.3,1.0,1.4,73.8,3.0,0.7,0.3,0.3,1.4,2022
Crystal Dangerfield,G,30,22.1,5.4,2.0,5.1,39.5,0.7,2.2,32.3,0.7,1.0,70.0,2.1,2.5,0.6,0.1,0.9,2022
Elizabeth Williams,C,30,14.9,5.4,2.3,4.7,48.2,0.0,0.0,0.0,0.8,1.4,58.1,3.8,0.5,0.6,0.6,0.6,2022
Destanni Henderson,G,36,16.4,5.3,2.0,4.9,40.1,0.7,2.0,36.6,0.6,0.9,71.9,1.6,2.5,0.8,0.1,1.7,2022
Natalie Achonwa,F,22,15.1,5.3,2.1,4.1,51.6,0.0,0.1,0.0,1.0,1.2,81.5,4.1,1.7,0.4,0.3,1.0,2022
Emily Engstler,F,35,18.2,5.2,2.1,5.2,39.6,0.5,1.3,35.6,0.6,1.1,55.3,5.2,1.5,0.8,1.1,1.4,2022
Stephanie Talbot,F,34,16.1,5.0,1.9,4.1,46.4,0.9,2.1,39.7,0.4,0.7,58.3,3.1,1.3,0.7,0.3,1.1,2022
Tyasha Harris,G,35,15.8,5.0,2.0,4.7,41.8,0.5,1.5,31.5,0.5,0.7,79.2,0.9,2.8,0.4,0.1,1.1,2022
Tianna Hawkins,F,25,12.8,4.9,1.8,4.6,38.6,0.6,2.1,26.4,0.8,0.8,95.2,2.4,0.8,0.4,0.1,1.2,2022
Michaela Onyenwere,F,34,13.7,4.7,1.4,3.8,37.7,0.4,1.5,30.0,1.4,1.6,83.6,2.1,0.4,0.4,0.2,0.7,2022
Naz Hillmon,F,34,19.8,4.4,1.7,3.6,48.0,0.0,0.1,0.0,0.9,1.1,82.1,5.1,1.2,0.6,0.3,1.2,2022
Bridget Carleton,F,36,16.8,4.3,1.5,3.8,40.0,0.8,2.3,34.9,0.5,0.7,73.1,2.1,1.1,0.4,0.1,0.6,2022
Brianna Turner,F,35,33.4,4.3,1.9,3.2,60.7,0.0,0.0,0.0,0.4,0.9,50.0,6.8,2.3,1.3,1.6,1.4,2022
Dana Evans,G,33,11.5,4.3,1.5,3.9,37.7,0.7,2.0,32.8,0.7,0.8,88.0,0.8,1.2,0.3,0.1,0.8,2022
Theresa Plaisance,F,31,12.9,4.0,1.4,3.7,37.1,1.0,2.9,34.8,0.2,0.3,70.0,2.6,0.5,0.3,0.4,0.6,2022
Olivia Nelson-Ododa,F,30,14.5,4.0,1.6,2.8,56.0,0.0,0.0,0.0,0.9,1.2,70.3,3.0,0.4,0.3,0.8,1.0,2022
Epiphanny Prince,G,33,12.3,3.9,1.3,3.8,35.5,0.6,1.8,35.6,0.6,0.8,84.0,1.0,1.8,0.6,0.1,0.5,2022
Lexie Hull,G,26,12.8,3.8,1.1,4.0,26.7,0.3,1.7,18.6,1.4,1.5,90.0,1.5,0.7,0.6,0.1,0.7,2022
Jantel Lavender,F,27,12.2,3.8,1.7,4.1,40.9,0.2,0.9,20.8,0.3,0.4,66.7,3.3,0.9,0.1,0.1,0.9,2022
Megan Gustafson,C,33,9.6,3.8,1.5,2.8,54.9,0.4,0.8,46.2,0.4,0.5,76.5,1.9,0.5,0.2,0.2,0.7,2022
Briann January,G,36,16.9,3.7,1.3,3.4,37.7,0.6,2.1,31.1,0.5,0.6,82.6,1.0,2.4,0.6,0.2,1.5,2022
Jennie Simms,G,23,13.2,3.4,1.3,2.7,47.6,0.2,0.8,21.1,0.7,0.8,78.9,2.2,0.9,0.5,0.0,1.0,2022
Julie Allemand,G,25,16.1,3.0,1.0,2.4,41.7,0.4,1.2,29.0,0.6,0.7,83.3,1.6,3.4,0.6,0.1,1.3,2022
Awak Kuier,F,33,12.6,2.8,1.0,2.6,39.5,0.1,0.6,19.0,0.6,0.9,61.3,2.5,0.9,0.4,0.9,0.6,2022
Veronica Burton,G,36,15.2,2.6,0.7,2.1,32.9,0.3,1.2,27.9,0.9,0.9,100.0,1.5,1.9,0.9,0.3,1.0,2022
Kia Vaughn,C,29,13.8,2.5,1.1,2.8,40.0,0.0,0.0,0.0,0.3,0.4,69.2,3.2,0.9,0.3,0.3,1.2,2022
Ruthy Hebard,F,24,9.7,2.3,1.0,2.0,51.0,0.0,0.0,0.0,0.3,0.3,75.0,1.7,0.5,0.3,0.1,0.5,2022
Kiah Stokes,C,31,15.4,2.3,0.8,2.0,42.6,0.2,0.8,20.8,0.4,0.5,81.3,4.4,0.6,0.5,0.8,0.6,2022
Nia Clouden,G,28,8.9,2.1,0.6,1.9,34.0,0.4,1.0,41.4,0.4,0.6,58.8,0.8,0.8,0.2,0.0,0.4,2022
Joyner Holmes,F,26,7.9,2.0,0.7,2.3,31.1,0.2,0.8,22.7,0.4,0.5,76.9,1.3,0.5,0.3,0.1,0.7,2022
Rui Machida,G,36,12.9,1.8,0.7,2.3,31.0,0.2,0.9,20.6,0.2,0.3,66.7,1.1,2.6,0.4,0.1,1.1,2022
Jasmine Walker,F,32,8.8,1.6,0.6,2.4,25.0,0.3,1.6,20.0,0.1,0.1,100.0,1.5,0.2,0.2,0.1,0.5,2022
Aisha Sheppard,G,23,7.6,1.5,0.4,1.8,23.8,0.4,1.4,27.3,0.3,0.3,75.0,0.6,0.3,0.2,0.0,0.3,2022
Sam Thomas,F,24,4.9,0.4,0.2,0.8,21.1,0.0,0.6,6.7,0.0,0.0,100.0,0.2,0.3,0.3,0.1,0.2,2022
