Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Phoenix Mercury,34,93.9,33.9,71.5,47.3,7.4,20.6,35.9,18.8,22.1,84.8,8.7,27.1,35.7,20.2,7.0,4.4,15.0,20.0
Atlanta Dream,34,85.4,32.0,72.0,44.4,3.9,13.3,28.9,17.6,24.8,70.9,12.8,26.0,38.8,19.6,8.9,4.1,16.5,20.9
Seattle Storm,34,81.8,29.2,65.5,44.5,7.2,19.6,36.9,16.2,20.4,79.3,11.6,24.7,36.3,18.7,8.3,3.8,14.4,20.7
Connecticut Sun,34,81.0,29.6,69.4,42.7,6.3,18.8,33.3,15.4,19.3,80.2,10.5,26.0,36.5,17.8,7.1,3.8,13.9,17.8
New York Liberty,34,79.2,29.4,65.1,45.3,6.9,16.8,40.9,13.5,16.5,81.8,8.7,22.6,31.2,18.6,8.2,2.9,13.8,19.0
Minnesota Lynx,34,78.7,27.8,69.9,39.7,5.0,15.4,32.2,18.2,24.1,75.6,11.6,23.6,35.2,14.9,8.9,3.3,14.0,20.1
Indiana Fever,34,78.3,27.7,63.1,43.8,6.4,17.4,36.5,16.6,21.2,78.2,9.6,22.9,32.5,16.7,9.7,5.0,15.4,20.7
Tulsa Shock,34,78.0,28.9,68.3,42.4,5.8,16.3,35.7,14.3,20.1,71.1,10.1,21.5,31.6,16.7,9.8,4.2,17.3,19.7
Los Angeles Sparks,34,77.9,28.6,64.9,44.1,5.9,17.6,33.7,14.8,18.0,82.2,7.6,23.2,30.8,18.4,7.2,3.6,13.7,16.8
Washington Mystics,34,76.9,27.8,61.7,45.1,4.7,13.4,35.2,16.6,21.4,77.5,10.0,24.1,34.2,13.9,8.1,2.3,15.9,20.1
San Antonio Silver Stars,34,76.8,28.6,62.1,46.1,5.7,17.3,33.2,13.9,18.2,76.3,7.8,22.3,30.1,17.6,7.5,2.5,14.4,16.9
Chicago Sky,34,76.1,27.7,63.5,43.7,5.1,15.0,34.1,15.5,20.9,74.5,9.1,22.6,31.7,17.1,8.4,4.7,14.1,17.6
