Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Connor McDavid,C,82,64,89,153,22,36,22:23,21,50,352,18.2,1913,11,524,487,51.8,4,1,25.0
Leon Draisaitl,C,80,52,76,128,7,24,21:44,32,30,247,21.1,1817,11,807,663,54.9,4,0,0.0
Nikita Kucherov,RW,82,30,83,113,-2,36,20:07,8,42,271,11.1,1754,4,2,0,100.0,3,0,0.0
David Pastrnak,RW,82,61,52,113,34,38,19:33,18,19,407,15.0,1820,13,8,11,42.1,2,0,0.0
Nathan MacKinnon,C,71,42,69,111,29,30,22:19,12,22,366,11.5,1719,9,519,649,44.4,5,2,40.0
Matthew Tkachuk,LW,79,40,69,109,29,123,20:26,14,22,322,12.4,1779,6,13,16,44.8,2,0,0.0
Jason Robertson,LW,82,46,63,109,37,20,18:50,13,28,313,14.7,1815,7,0,1,0.0,4,3,75.0
Mikko Rantanen,RW,82,55,50,105,15,82,22:13,13,24,306,18.0,1995,9,222,231,49.0,6,1,16.7
Ryan Nugent-Hopkins,C,82,37,67,104,12,35,19:48,15,38,201,18.4,1876,3,308,374,45.2,4,2,50.0
Elias Pettersson,C,80,39,63,102,16,14,20:33,6,19,257,15.2,1972,6,442,555,44.3,6,2,33.3
Erik Karlsson,D,82,25,76,101,-26,36,25:36,5,22,209,12.0,2067,4,0,1,0.0,2,0,0.0
Mitch Marner,RW,80,30,69,99,18,28,21:16,9,27,196,15.3,1929,4,0,4,0.0,2,1,50.0
Jack Hughes,C,78,43,56,99,10,6,19:57,9,22,336,12.8,1739,6,164,300,35.3,2,0,0.0
Brayden Point,C,82,51,44,95,2,7,19:40,20,10,235,21.7,1743,9,417,405,50.7,3,0,0.0
Tage Thompson,C,78,47,47,94,4,39,18:35,20,14,295,15.9,1715,7,350,463,43.1,4,1,25.0
Sidney Crosby,C,82,33,60,93,8,52,20:08,9,18,255,12.9,1945,9,978,868,53.0,1,1,100.0
Artemi Panarin,LW,82,29,63,92,4,36,19:36,9,27,204,14.2,1573,4,6,13,31.6,5,3,60.0
Mika Zibanejad,C,82,39,52,91,25,20,19:57,20,19,251,15.5,1806,5,692,706,49.5,6,2,33.3
Tim Stutzle,C,78,39,51,90,-3,54,21:15,10,18,228,17.1,2021,3,202,284,41.6,1,1,100.0
William Nylander,RW,82,40,47,87,10,28,18:32,9,19,293,13.7,1747,5,25,34,42.4,2,0,0.0
Clayton Keller,RW,82,37,49,86,-2,49,20:45,6,14,223,16.6,2067,4,22,41,34.9,5,2,40.0
