Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Arike Ogunbowale,G,2,39.0,30.0,9.5,25.5,37.3,4.0,10.0,40.0,7.0,7.0,100.0,4.0,5.0,2.5,0.0,3.0
Kahleah Copper,G,2,31.5,28.5,9.0,19.5,46.2,3.0,6.0,50.0,7.5,9.0,83.3,5.0,2.5,0.0,0.0,2.0
A'ja Wilson,C,2,33.5,26.0,9.5,21.0,45.2,0.5,2.0,25.0,6.5,7.5,86.7,11.5,3.0,2.0,2.5,1.5
Dearica Hamby,F,2,35.5,24.5,9.5,15.5,61.3,1.0,2.0,50.0,4.5,9.5,47.4,11.5,2.0,2.5,0.0,2.0
Napheesa Collier,F,2,37.5,24.5,9.5,20.5,46.3,1.0,2.5,40.0,4.5,5.0,90.0,10.5,2.5,3.5,2.0,3.5
Rhyne Howard,G,2,35.0,23.0,8.0,15.5,51.6,4.0,8.0,50.0,3.0,4.5,66.7,6.0,2.5,1.5,1.0,2.0
Jackie Young,G,2,37.5,22.5,7.0,17.0,41.2,3.0,8.5,35.3,5.5,6.0,91.7,6.5,8.5,2.5,1.0,2.0
DeWanna Bonner,F,3,32.7,21.3,8.0,17.3,46.2,0.3,5.3,6.3,5.0,5.7,88.2,5.0,1.3,2.7,0.0,1.0
Breanna Stewart,F,4,31.0,19.8,7.3,15.5,46.8,0.8,3.3,23.1,4.5,4.8,94.7,8.5,2.3,2.8,1.8,2.3
Diana Taurasi,G,2,29.0,19.0,6.0,14.5,41.4,4.0,9.5,42.1,3.0,3.5,85.7,5.0,1.0,0.0,0.0,1.0
Alanna Smith,F,2,39.5,19.0,7.0,12.5,56.0,2.5,3.5,71.4,2.5,3.0,83.3,6.5,2.0,2.0,5.0,4.0
Kelsey Plum,G,2,37.5,18.0,6.0,17.0,35.3,3.0,8.5,35.3,3.0,4.0,75.0,2.0,5.0,2.0,0.0,1.5
Kia Nurse,G,2,32.0,18.0,7.0,12.0,58.3,3.0,6.5,46.2,1.0,1.0,100.0,2.0,2.0,1.0,0.0,1.5
Jonquel Jones,F,4,28.5,17.3,6.0,10.8,55.8,1.8,4.0,43.8,3.5,3.5,100.0,9.5,2.8,0.0,1.8,2.0
Allisha Gray,G,2,31.0,17.0,6.0,12.0,50.0,2.5,4.0,62.5,2.5,4.0,62.5,4.5,1.0,1.0,1.5,0.5
DiJonai Carrington,G,3,34.3,17.0,6.0,15.3,39.1,0.3,3.0,11.1,4.7,5.0,93.3,5.0,2.0,1.3,0.7,2.0
Caitlin Clark,G,4,31.0,17.0,5.3,12.8,41.2,3.0,8.8,34.3,3.5,3.5,100.0,4.0,5.5,0.8,0.8,6.5
Jewell Loyd,G,4,35.0,16.8,4.5,19.0,23.7,0.8,4.8,15.8,7.0,7.8,90.3,7.3,2.5,1.8,0.0,2.8
Alyssa Thomas,F,3,37.3,16.7,5.0,9.7,51.7,0.0,0.0,0.0,6.7,9.0,74.1,11.7,9.3,2.0,0.7,4.3
Marina Mabrey,G,2,34.5,16.5,5.5,16.5,33.3,2.5,9.0,27.8,3.0,4.0,75.0,8.5,5.5,3.5,0.0,2.5
Ariel Atkins,G,3,33.0,15.7,5.7,14.3,39.5,2.3,6.3,36.8,2.0,2.0,100.0,2.3,3.7,2.0,0.3,3.3
Sabrina Ionescu,G,4,31.5,15.3,5.3,13.5,38.9,2.0,7.5,26.7,2.8,2.8,100.0,4.0,6.0,1.0,0.8,2.5
Diamond DeShields,G,2,21.0,15.0,7.0,12.0,58.3,0.5,2.5,20.0,0.5,1.5,33.3,3.5,2.0,2.5,1.0,2.5
Skylar Diggins-Smith,G,4,33.3,14.5,5.5,16.5,33.3,0.3,3.3,7.7,3.3,4.0,81.3,2.8,5.8,1.8,1.3,5.0
Betnijah Laney-Hamilton,F,4,31.8,14.5,5.3,10.5,50.0,1.5,4.5,33.3,2.5,2.8,90.9,3.0,2.8,1.3,0.0,1.8
Kayla McBride,G,2,37.0,14.0,4.5,10.5,42.9,2.5,7.0,35.7,2.5,3.5,71.4,4.5,4.5,2.0,0.5,2.0
Tina Charles,C,2,29.5,13.5,5.5,10.5,52.4,0.5,1.5,33.3,2.0,2.0,100.0,8.5,3.0,1.5,0.0,2.0
Cheyenne Parker-Tyus,F,2,23.5,13.5,4.0,10.0,40.0,0.5,2.5,20.0,5.0,5.5,90.9,4.0,1.0,1.5,1.0,3.0
Ezi Magbegor,C,4,35.8,12.8,4.3,9.0,47.2,0.8,2.0,37.5,3.5,4.3,82.4,8.5,2.0,0.8,2.3,1.8
Karlie Samuelson,G,3,29.3,12.7,3.7,8.3,44.0,2.7,5.7,47.1,2.7,2.7,100.0,3.0,3.0,1.7,0.0,2.0
Tyasha Harris,G,3,28.0,12.3,4.3,10.0,43.3,2.3,5.0,46.7,1.3,1.3,100.0,0.0,2.7,0.7,0.0,0.3
Elizabeth Williams,C,2,32.5,12.0,4.5,11.0,40.9,0.0,0.0,0.0,3.0,4.5,66.7,9.0,2.0,3.0,3.0,2.5
Courtney Williams,G,2,30.0,12.0,5.5,12.0,45.8,1.0,2.5,40.0,0.0,0.0,0.0,5.5,6.5,3.0,0.5,4.0
Lexie Brown,G,2,32.5,12.0,4.5,12.0,37.5,1.5,4.5,33.3,1.5,2.5,60.0,1.0,2.5,2.5,0.0,0.5
Kelsey Mitchell,G,4,25.3,11.8,4.3,11.3,37.8,1.5,4.5,33.3,1.8,2.3,77.8,1.0,2.0,0.5,0.0,1.8
Shakira Austin,C,2,20.5,11.5,5.0,9.5,52.6,0.5,0.5,100.0,1.0,2.0,50.0,7.0,1.0,1.0,2.5,2.5
Angel Reese,F,2,26.0,11.5,4.0,11.5,34.8,0.0,0.5,0.0,3.5,7.5,46.7,8.5,1.5,1.0,0.0,2.0
Teaira McCowan,C,2,25.0,11.0,5.0,10.5,47.6,0.0,0.0,0.0,1.0,1.5,66.7,9.0,0.0,1.0,2.5,2.5
Dana Evans,G,2,30.5,11.0,3.0,10.5,28.6,1.0,4.5,22.2,4.0,4.0,100.0,2.0,6.0,0.5,1.0,1.5
Alysha Clark,F,2,31.5,10.5,4.0,7.0,57.1,1.5,4.5,33.3,1.0,1.0,100.0,5.5,1.0,2.0,0.0,3.0
Natasha Cloud,G,2,32.5,10.5,3.5,10.5,33.3,0.5,3.0,16.7,3.0,3.5,85.7,5.0,6.0,1.5,0.5,2.5
NaLyssa Smith,F,4,25.3,10.5,3.8,8.8,42.9,0.5,1.8,28.6,2.5,3.3,76.9,6.8,0.8,1.0,1.3,2.3
Rickea Jackson,F,2,20.0,10.0,4.0,8.0,50.0,1.0,2.0,50.0,1.0,1.0,100.0,2.0,0.0,1.0,0.0,3.0
Maddy Siegrist,F,2,18.5,9.5,4.0,8.5,47.1,0.5,1.5,33.3,1.0,1.0,100.0,3.5,0.5,0.5,1.5,0.5
Aliyah Boston,F,4,30.5,9.5,4.3,10.5,40.5,0.0,0.0,0.0,1.0,1.0,100.0,7.0,1.8,0.8,1.8,2.5
Stefanie Dolson,C,3,27.7,8.7,2.7,6.3,42.1,1.7,4.7,35.7,1.7,3.0,55.6,5.7,2.3,0.7,0.3,0.7
Brittney Sykes,G,2,18.0,8.0,3.5,9.0,38.9,0.0,2.5,0.0,1.0,1.0,100.0,6.0,3.5,1.0,0.0,2.0
Rebecca Allen,G,2,27.5,8.0,3.0,9.5,31.6,1.5,4.5,33.3,0.5,1.0,50.0,5.0,1.5,1.0,1.5,1.5
Sophie Cunningham,G,2,25.5,8.0,2.5,4.5,55.6,1.5,3.0,50.0,1.5,2.0,75.0,5.0,1.5,2.5,0.5,1.5
Crystal Dangerfield,G,2,17.5,8.0,2.5,5.0,50.0,0.5,1.0,50.0,2.5,2.5,100.0,1.0,3.0,0.5,1.5,1.0
Chennedy Carter,G,2,15.0,8.0,3.5,7.5,46.7,0.0,0.5,0.0,1.0,1.0,100.0,3.0,1.0,0.5,0.5,1.5
Haley Jones,G,2,22.5,8.0,2.5,5.0,50.0,1.0,2.0,50.0,2.0,2.5,80.0,1.5,4.5,0.5,0.5,2.5
Brionna Jones,F,3,21.0,7.7,3.0,5.7,52.9,0.0,0.0,0.0,1.7,2.7,62.5,4.7,0.3,2.0,0.3,0.3
Mercedes Russell,C,4,22.3,7.5,3.3,4.8,68.4,0.0,0.0,0.0,1.0,1.5,66.7,3.3,0.0,1.3,0.0,1.8
Kalani Brown,C,2,15.5,7.5,2.5,6.5,38.5,0.0,0.0,0.0,2.5,3.0,83.3,5.5,1.0,0.0,0.5,2.0
Sevgi Uzun,G,2,28.0,7.5,3.0,6.5,46.2,1.5,2.5,60.0,0.0,0.0,0.0,0.5,4.5,1.0,0.5,4.0
Temi Fagbenle,C,4,18.5,7.3,3.3,5.5,59.1,0.0,0.5,0.0,0.8,1.3,60.0,4.5,0.8,1.3,0.5,1.3
Natisha Hiedeman,G,2,17.5,7.0,2.5,4.5,55.6,0.5,1.5,33.3,1.5,2.0,75.0,1.5,6.0,2.0,0.0,3.5
Cameron Brink,F,2,22.5,7.0,2.5,6.5,38.5,1.0,2.5,40.0,1.0,1.5,66.7,5.0,2.0,0.5,3.5,2.0
Aaliyah Edwards,F,3,19.0,7.0,2.7,6.0,44.4,0.0,0.0,0.0,1.7,2.7,62.5,4.3,1.0,0.3,1.3,1.3
Julie Vanloo,G,3,23.0,6.7,2.7,7.0,38.1,1.0,4.3,23.1,0.3,0.3,100.0,2.3,5.7,0.3,0.0,2.7
Layshia Clarendon,G,2,26.5,6.5,2.0,5.5,36.4,1.0,2.0,50.0,1.5,2.0,75.0,6.5,7.0,1.5,0.0,2.0
Megan Gustafson,C,2,15.0,6.5,2.0,5.5,36.4,0.5,3.0,16.7,2.0,2.0,100.0,3.5,0.0,0.0,0.0,0.5
Courtney Vandersloot,G,4,25.5,6.3,2.8,6.3,44.0,0.8,2.5,30.0,0.0,0.0,0.0,3.3,5.0,1.3,0.0,3.0
Katie Lou Samuelson,F,4,23.0,6.0,2.0,4.5,44.4,1.0,1.8,57.1,1.0,1.0,100.0,2.3,1.8,0.0,0.0,0.0
Shatori Walker-Kimbrough,G,3,17.7,5.7,2.3,4.3,53.8,0.7,0.7,100.0,0.3,0.7,50.0,0.0,0.3,1.3,1.0,1.0
Diamond Miller,F,2,14.0,5.5,2.0,6.5,30.8,1.0,3.5,28.6,0.5,1.0,50.0,3.0,0.0,0.0,0.0,0.5
Myisha Hines-Allen,F,3,17.3,5.3,1.7,4.3,38.5,0.7,2.0,33.3,1.3,1.3,100.0,3.0,2.0,0.3,0.0,2.0
Jordan Horston,G,4,23.3,5.3,2.5,6.3,40.0,0.3,1.3,20.0,0.0,0.3,0.0,6.8,1.3,2.3,0.3,2.8
Rachel Banham,G,2,18.5,5.0,1.5,5.5,27.3,1.5,5.0,30.0,0.5,0.5,100.0,1.0,0.5,0.5,0.0,0.5
Kristy Wallace,G,4,16.3,5.0,2.0,4.0,50.0,0.5,2.0,25.0,0.5,1.0,50.0,2.5,2.0,1.0,0.0,0.3
Bridget Carleton,F,2,28.0,5.0,1.5,5.5,27.3,1.0,4.5,22.2,1.0,1.0,100.0,4.0,2.5,2.5,0.5,0.0
Sami Whitcomb,G,4,16.8,4.8,1.8,4.5,38.9,1.3,3.8,33.3,0.0,0.0,0.0,1.5,1.5,1.8,0.3,2.0
Kayla Thornton,F,4,11.5,4.8,1.3,2.8,45.5,0.5,1.3,40.0,1.8,2.0,87.5,1.0,0.0,0.3,0.5,0.3
Erica Wheeler,G,4,19.5,4.5,2.0,5.3,38.1,0.3,1.3,20.0,0.3,0.3,100.0,2.0,2.8,0.5,0.3,2.0
Natasha Mack,F,2,20.5,4.5,2.0,4.0,50.0,0.0,0.0,0.0,0.5,0.5,100.0,8.5,3.5,1.0,2.5,1.0
Moriah Jefferson,G,3,7.7,4.3,1.0,2.3,42.9,1.0,2.0,50.0,1.3,1.3,100.0,0.3,0.3,1.0,0.0,0.7
Victoria Vivians,G,4,19.3,4.0,1.3,4.3,29.4,0.8,2.3,33.3,0.8,1.0,75.0,4.0,1.5,0.8,0.3,1.0
Lindsay Allen,G,2,11.5,3.5,1.5,3.0,50.0,0.0,0.0,0.0,0.5,1.0,50.0,1.0,0.5,0.5,0.0,0.5
Sug Sutton,G,2,16.5,3.5,1.0,4.0,25.0,0.0,2.0,0.0,1.5,1.5,100.0,1.0,2.5,1.0,0.0,3.5
Olivia Nelson-Ododa,F,3,14.7,3.3,1.3,2.3,57.1,0.0,0.0,0.0,0.7,1.0,66.7,2.3,0.3,0.0,0.7,1.3
Kiah Stokes,C,2,22.0,3.0,0.5,0.5,100.0,0.5,0.5,100.0,1.5,2.0,75.0,3.5,0.5,0.0,0.5,0.5
Nyara Sabally,F,4,11.5,3.0,1.0,1.5,66.7,0.0,0.0,0.0,1.0,1.3,80.0,2.8,0.0,1.0,1.3,1.0
Jacy Sheldon,G,2,13.0,3.0,1.0,3.5,28.6,0.0,0.5,0.0,1.0,1.0,100.0,2.5,1.0,0.5,1.5,2.5
Ivana Dojkic,G,3,11.0,3.0,0.7,2.3,28.6,0.7,1.7,40.0,1.0,1.3,75.0,1.0,0.7,0.3,0.0,1.7
Kennedy Burke,F,4,9.5,2.8,1.0,2.5,40.0,0.5,1.3,40.0,0.3,0.5,50.0,1.8,1.0,0.0,0.0,0.5
Michaela Onyenwere,F,2,13.5,2.5,1.0,3.5,28.6,0.5,1.5,33.3,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.5
Zia Cooke,G,2,10.0,2.5,1.0,5.0,20.0,0.0,1.0,0.0,0.5,1.0,50.0,2.5,1.0,0.0,0.0,1.0
Alissa Pili,F,2,10.0,2.5,1.0,2.0,50.0,0.5,1.5,33.3,0.0,0.5,0.0,1.5,0.0,0.0,0.0,1.5
Leonie Fiebich,F,4,9.3,2.3,1.0,3.0,33.3,0.3,2.0,12.5,0.0,0.0,0.0,1.3,0.3,0.3,0.0,1.3
Naz Hillmon,F,2,16.5,2.0,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0.5,0.5,0.0
Stephanie Soares,C,2,20.0,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,2.0,1.5
Aerial Powers,G,2,10.0,1.5,0.0,2.5,0.0,0.0,0.5,0.0,1.5,2.0,75.0,1.0,1.0,1.0,0.5,0.0
Tiffany Mitchell,G,3,8.7,1.3,0.3,2.3,14.3,0.0,1.0,0.0,0.7,0.7,100.0,1.0,0.3,0.0,0.0,0.3
DiDi Richards,G,3,5.3,1.3,0.3,1.7,20.0,0.0,0.7,0.0,0.7,1.3,50.0,0.7,0.3,0.0,0.3,0.0
Sydney Colson,G,2,6.5,1.0,0.5,2.0,25.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
Nia Coffey,F,2,11.5,1.0,0.5,2.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.5,2.0
Astou Ndour-Fall,C,2,4.5,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Stephanie Talbot,F,2,5.5,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5
Cecilia Zandalasini,F,2,6.0,1.0,0.5,1.5,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0
Stephanie Talbot,F,2,5.5,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5
Cecilia Zandalasini,F,2,6.0,1.0,0.5,1.5,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0
Liz Dixon,F,2,7.5,1.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5
Laeticia Amihere,F,2,3.0,1.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kiana Williams,G,3,3.3,0.7,0.3,1.3,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Dulcy Fankam Mendjiadeu,F,3,5.0,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.3,0.0,1.3,0.0,0.0,0.0,0.0
Brianna Turner,F,2,14.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.5,2.0,0.5
Mikiah Herbert Harrigan,F,2,7.0,0.0,0.0,2.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0
Aari McDonald,G,2,8.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.5
Lou Lopez Senechal,G,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
Li Yueru,C,2,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Marquesha Davis,G,2,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
