Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Chicago Sky,34,82.9,31.5,70.5,44.6,4.1,12.7,32.7,15.8,19.1,82.6,10.0,26.6,36.6,15.9,6.7,6.7,11.4,18.6
Atlanta Dream,34,77.8,28.1,68.2,41.1,4.9,15.3,32.0,16.8,21.3,78.8,11.0,23.6,34.6,16.1,9.2,3.7,15.3,21.9
Tulsa Shock,34,77.7,26.7,67.6,39.5,6.1,18.6,32.5,18.3,23.1,79.2,11.6,24.1,35.6,14.1,6.9,3.7,11.6,19.5
Indiana Fever,34,77.7,27.6,65.1,42.4,5.4,14.9,36.0,17.1,21.4,79.9,9.7,22.7,32.4,14.9,8.7,2.9,13.6,20.8
Minnesota Lynx,34,75.5,28.9,65.7,44.1,4.1,12.3,33.3,13.5,16.5,81.7,8.9,26.4,35.3,18.1,6.1,4.4,12.4,15.8
Phoenix Mercury,34,75.1,27.5,63.0,43.7,4.6,14.3,32.4,15.5,19.1,81.0,7.2,26.2,33.4,16.2,7.3,6.9,12.3,18.4
Connecticut Sun,34,75.0,28.5,67.5,42.2,6.1,18.3,33.5,11.9,16.0,74.1,9.0,22.0,31.0,15.8,8.2,3.1,12.6,19.2
New York Liberty,34,74.4,27.6,64.9,42.6,3.8,12.2,30.9,15.3,19.8,77.3,9.9,26.8,36.7,16.7,7.4,4.3,14.1,18.1
Los Angeles Sparks,34,73.6,28.2,62.4,45.2,4.3,14.4,29.7,12.9,15.9,81.5,7.1,25.1,32.1,18.3,5.8,4.1,12.3,17.9
Washington Mystics,34,73.6,27.0,64.1,42.2,6.0,17.4,34.4,13.5,17.0,79.2,8.1,24.2,32.3,17.8,6.6,4.9,12.0,18.6
Seattle Storm,34,70.4,26.4,60.8,43.4,4.7,14.5,32.3,12.9,15.9,81.4,5.3,25.1,30.4,16.7,6.0,3.4,14.1,17.9
San Antonio Stars,34,68.1,25.3,64.9,39.0,3.8,12.8,29.5,13.6,17.6,77.7,8.1,24.5,32.6,15.2,7.2,3.8,13.1,15.3
