Timestamp,Initials,Shot Distance (feet),# Out of 5,Group
2024-11-18 09:36:29,JOF,10,1,St. Thomas More Catholic Elementary School
2024-11-18 09:36:29,MAT,4,4,St. Thomas More Catholic Elementary School
2024-11-18 09:36:29,Jethro,10,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:29,M 18,6,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:29,CO,6,2,St. Thomas More Catholic Elementary School
2024-11-18 09:36:29,JA18,2,5,St. Thomas More Catholic Elementary School
2024-11-18 09:36:30,AC,10,0,St. Thomas More Catholic Elementary School
2024-11-18 09:36:30,Lincoln,10,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:30,Micaela,6,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:30,KKA,6,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:30,cka,10,5,St. Thomas More Catholic Elementary School
2024-11-18 09:36:31,Ca 19,10,0,St. Thomas More Catholic Elementary School
2024-11-18 09:36:31,AD,2,5,St. Thomas More Catholic Elementary School
2024-11-18 09:36:32,JUN,10,4,St. Thomas More Catholic Elementary School
2024-11-18 09:36:32,Amaiyah,10,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:33,R,10,4,St. Thomas More Catholic Elementary School
2024-11-18 09:36:33,Isabelle,6,4,St. Thomas More Catholic Elementary School
2024-11-18 09:36:33,SEI,6,0,St. Thomas More Catholic Elementary School
2024-11-18 09:36:34,DAB,8,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:34,N Y,6,2,St. Thomas More Catholic Elementary School
2024-11-18 09:36:37,EEA,10,4,St. Thomas More Catholic Elementary School
2024-11-18 09:36:37,NCST,10,0,St. Thomas More Catholic Elementary School
2024-11-18 09:36:38,Jared 18,6,1,St. Thomas More Catholic Elementary School
2024-11-18 09:36:43,AY18,8,3,St. Thomas More Catholic Elementary School
2024-11-18 09:36:44,S 18,10,4,St. Thomas More Catholic Elementary School
2024-11-18 09:36:46,Sabrina ,4,0,St. Thomas More Catholic Elementary School
2024-11-18 09:36:57,Isabelle,2,5,St. Thomas More Catholic Elementary School
2024-11-18 09:37:00,JEL19,10,0,St. Thomas More Catholic Elementary School
2024-11-18 09:37:00,MJY,6,1,St. Thomas More Catholic Elementary School
2024-11-18 09:37:01,EEA,2,3,St. Thomas More Catholic Elementary School
2024-11-18 09:37:02,Jared 18,8,1,St. Thomas More Catholic Elementary School
2024-11-18 09:37:02,M 18,4,2,St. Thomas More Catholic Elementary School
2024-11-18 09:37:03,Lincoln,8,2,St. Thomas More Catholic Elementary School
2024-11-18 09:37:04,Micaela,6,4,St. Thomas More Catholic Elementary School
2024-11-18 09:37:04,CO,8,1,St. Thomas More Catholic Elementary School
2024-11-18 09:37:04,KKA,2,4,St. Thomas More Catholic Elementary School
2024-11-18 09:37:05,JUN,6,2,St. Thomas More Catholic Elementary School
2024-11-18 09:37:05,Jethro,2,2,St. Thomas More Catholic Elementary School
2024-11-18 09:37:05,S 18,4,5,St. Thomas More Catholic Elementary School
2024-11-18 09:37:06,CKA,6,3,St. Thomas More Catholic Elementary School
2024-11-18 09:37:08,N Y,4,2,St. Thomas More Catholic Elementary School
2024-11-18 09:37:09,AD,4,5,St. Thomas More Catholic Elementary School
2024-11-18 09:37:09,Amaiyah,4,3,St. Thomas More Catholic Elementary School
2024-11-18 09:37:10,JOF,4,4,St. Thomas More Catholic Elementary School
2024-11-18 09:37:13,R,2,4,St. Thomas More Catholic Elementary School
2024-11-18 09:37:13,Ca 19,8,0,St. Thomas More Catholic Elementary School
2024-11-18 09:37:14,MAT,6,3,St. Thomas More Catholic Elementary School
